row,country,currency, order_value_EUR , gross_profit , cost ,date,category,customer_name,sales_manager,sales_rep,device_type,order_id
548,Ireland,EUR,"  130,242.41 ","  17,192.00 ","  113,050.41 ",12/30/2021,Smartphones,Johns and Sons,Glenine Suttaby,Palm Wetherald,PC,70-7426559
639,UK,GBP,"  167,615.14 ","  32,048.02 ","  135,567.12 ",12/30/2021,Smartphones,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,16-5450021
228,Sweden,EUR,"  72,885.55 ","  13,112.11 ","  59,773.44 ",12/29/2021,Clothing,Johns and Sons,Maxie Marrow,Anita Woakes,PC,22-3969127
661,Portugal,EUR,"  134,807.18 ","  26,759.23 ","  108,047.95 ",12/29/2021,Beauty,"Zieme, Bailey and Herzog",Celine Tumasian,Corene Shirer,PC,76-2368068
339,Germany,EUR,"  61,968.26 ","  11,278.22 ","  50,690.04 ",12/27/2021,Electronics,Romaguera-Dietrich,Rickard Doogood,Casie MacBain,PC,22-7259031
525,UK,GBP,"  96,669.92 ","  20,194.35 ","  76,475.57 ",12/27/2021,Appliances,Johns and Sons,Jessamine Apark,Winny Agnolo,Mobile,20-0499139
158,France,EUR,"  84,194.21 ","  12,309.19 ","  71,885.02 ",12/26/2021,Books,"Zieme, Bailey and Herzog",Othello Bowes,Avrit Chanders,Mobile,31-8836719
598,Sweden,EUR,"  149,938.71 ","  18,397.48 ","  131,541.23 ",12/24/2021,Books,Walter LLC,Maxie Marrow,Madelon Bront,PC,26-1771681
24,Finland,EUR,"  236,462.30 ","  30,787.39 ","  205,674.91 ",12/23/2021,Clothing,Hessel-Stiedemann,Hube Corey,Wat Bowkley,PC,41-6407014
369,Netherlands,EUR,"  95,575.75 ","  20,070.91 ","  75,504.84 ",12/23/2021,Books,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,PC,35-9372764
159,Finland,EUR,"  205,582.75 ","  38,834.58 ","  166,748.17 ",12/22/2021,Beauty,Tromp LLC,Hube Corey,Wat Bowkley,PC,64-4923214
526,France,EUR,"  264,149.91 ","  55,392.24 ","  208,757.67 ",12/20/2021,Smartphones,"Schmitt, Purdy and Johnson",Othello Bowes,Avrit Chanders,PC,32-3994860
932,Bulgaria,EUR,"  149,372.32 ","  18,761.16 ","  130,611.16 ",12/20/2021,Electronics,"Abbott, Roberts and Torp",Charil Alpe,Shermy McGready,Mobile,63-6848448
262,Austria,EUR,"  139,075.59 ","  25,367.39 ","  113,708.20 ",12/16/2021,Games,"Murray, Reichel and Nolan",Orsa Geekin,Bank Coumbe,PC,24-2403756
